ts_name,type,dt,n,freq_multiple
H1,H,0.001,700,1.4285714285714284
H2,H,0.001,700,1.4285714285714284
H3,H,0.001,700,1.4285714285714284
H4,H,0.001,700,1.4285714285714284
H5,H,0.001,700,1.4285714285714284
H6,H,0.001,700,1.4285714285714284
H7,H,0.001,700,1.4285714285714284
H8,H,0.001,700,1.4285714285714284
H9,H,0.001,700,1.4285714285714284
H10,H,0.001,700,1.4285714285714284
H11,H,0.001,700,1.4285714285714284
H12,H,0.001,700,1.4285714285714284
H13,H,0.001,700,1.4285714285714284
H14,H,0.001,700,1.4285714285714284
H15,H,0.001,700,1.4285714285714284
H16,H,0.001,700,1.4285714285714284
H17,H,0.001,700,1.4285714285714284
H18,H,0.001,700,1.4285714285714284
H19,H,0.001,700,1.4285714285714284
H20,H,0.001,700,1.4285714285714284
H21,H,0.001,700,1.4285714285714284
H22,H,0.001,700,1.4285714285714284
H23,H,0.001,700,1.4285714285714284
H24,H,0.001,700,1.4285714285714284
H25,H,0.001,700,1.4285714285714284
H26,H,0.001,700,1.4285714285714284
H27,H,0.001,700,1.4285714285714284
H28,H,0.001,700,1.4285714285714284
H29,H,0.001,700,1.4285714285714284
H30,H,0.001,700,1.4285714285714284
H31,H,0.001,700,1.4285714285714284
H32,H,0.001,700,1.4285714285714284
H33,H,0.001,700,1.4285714285714284
H34,H,0.001,700,1.4285714285714284
H35,H,0.001,700,1.4285714285714284
H36,H,0.001,700,1.4285714285714284
H37,H,0.001,700,1.4285714285714284
H38,H,0.001,700,1.4285714285714284
H39,H,0.001,700,1.4285714285714284
H40,H,0.001,700,1.4285714285714284
H41,H,0.001,700,1.4285714285714284
H42,H,0.001,700,1.4285714285714284
H43,H,0.001,700,1.4285714285714284
H44,H,0.001,700,1.4285714285714284
H45,H,0.001,700,1.4285714285714284
H46,H,0.001,700,1.4285714285714284
H47,H,0.001,700,1.4285714285714284
H48,H,0.001,700,1.4285714285714284
H49,H,0.001,700,1.4285714285714284
H50,H,0.001,700,1.4285714285714284
H51,H,0.001,700,1.4285714285714284
H52,H,0.001,700,1.4285714285714284
H53,H,0.001,700,1.4285714285714284
H54,H,0.001,700,1.4285714285714284
H55,H,0.001,700,1.4285714285714284
H56,H,0.001,700,1.4285714285714284
H57,H,0.001,700,1.4285714285714284
H58,H,0.001,700,1.4285714285714284
H59,H,0.001,700,1.4285714285714284
H60,H,0.001,700,1.4285714285714284
H61,H,0.001,700,1.4285714285714284
